data,label
11 mars 2049,11-03-2049
двадесет први децембра 2049,21-12-2049
dritter 04 2007,03-04-2007
den sjätte juli 2007,06-07-2007
27/03/49,27-03-2049
13 февралда 2049,13-02-2049
07.03.2077,07-03-2077
dritter 06 2077,03-06-2077
der achte 02 2049,08-02-2049
der achte august 2007,08-08-2007
le quatre 08 2049,04-08-2049
другог септембра 2077,02-09-2077
le dix-neuf janvier 2049,19-01-2049
26 juillet 2007,26-07-2007
den sjunde 09 2007,07-09-2007
02 февраля 2049,02-02-2049
03 октябрдә 2077,03-10-2077
isippale 12 2007,28-12-2007
neunter 02 2007,09-02-2007
12.12.2049,12-12-2049
егерме өченче 01 2077,23-01-2077
isipsa 12 2077,24-12-2077
le vingt-six novembre 2007,26-11-2007
дванаести августа 2007,12-08-2007
le dix-neuf mai 2049,19-05-2049
am dritten dezember 2077,03-12-2077
14.03.49,14-03-2049
erster januar 2049,01-01-2049
тридесети 05 2049,30-05-2049
yuk 06 2077,06-06-2077
den tjugoåttonde maj 2049,28-05-2049
le seize 03 2077,16-03-2077
шеснаестог априла 2007,16-04-2007
21 irwol 2049,21-01-2049
sipgu irwol 2077,19-01-2077
le vingt et un 01 2077,21-01-2077
двадесет пети 07 2007,25-07-2007
05.09.49,05-09-2049
девятнадцатое октября 2007,19-10-2007
шестнадцатое апреля 2077,16-04-2077
двадцать шестое ноября 2049,26-11-2049
24 dezember 2007,24-12-2007
der neun und zwanzigster juni 2077,29-06-2077
20.03.77,20-03-2077
04.04.49,04-04-2049
02 octobre 2007,02-10-2007
le vingt-neuf 11 2049,29-11-2049
der sieben und zwanzigste 06 2049,27-06-2049
le premier 03 2077,01-03-2077
isipchil o'wol 2077,27-05-2077
o 08 2049,05-08-2049
der fünf und zwanzigster 05 2049,25-05-2049
isipe sa'wol 2077,20-04-2077
04/05/07,04-05-2007
дванаести фебруара 2007,12-02-2007
le dix-huit juin 2007,18-06-2007
шести новембра 2049,06-11-2049
isip 01 2007,20-01-2007
двадцать восьмого 10 2049,28-10-2049
isipo 01 2049,25-01-2049
двадцать девятое сентября 2077,29-09-2077
пятнадцатое 09 2007,15-09-2007
икенче 04 2049,02-04-2049
11 ноябрдә 2077,11-11-2077
den artonde juni 2049,18-06-2049
der zweite november 2077,02-11-2077
den tjugonionde november 2077,29-11-2077
двадцать девятого апреля 2007,29-04-2007
27.08.2049,27-08-2049
den tjugoförsta 09 2077,21-09-2077
15 априла 2049,15-04-2049
16.10.2049,16-10-2049
10 maj 2007,10-05-2007
05 sibirwol 2049,05-11-2049
zwölfter 10 2077,12-10-2077
der zwei und zwanzigste august 2049,22-08-2049
двадесети 06 2077,20-06-2077
le trente et un 01 2049,31-01-2049
le quatre janvier 2049,04-01-2049
20 februari 2077,20-02-2077
le treize 07 2077,13-07-2077
восемндацатого мая 2077,18-05-2077
isippale 03 2007,28-03-2007
седамнаести марта 2049,17-03-2049
31 декабрдә 2077,31-12-2077
ile 05 2077,01-05-2077
двадесет другог 07 2007,22-07-2007
унынчы 12 2049,10-12-2049
yuk sibi'wol 2049,06-12-2049
der neunte november 2049,09-11-2049
12 semptembre 2077,12-09-2077
gu chirwol 2007,09-07-2007
егерменче июндә 2049,20-06-2049
der acht und zwanzigster 08 2049,28-08-2049
le neuf 04 2077,09-04-2077
унөченче 08 2007,13-08-2007
am vierten 11 2077,04-11-2077
25 sa'wol 2007,25-04-2007
le vingt-quatre 09 2077,24-09-2077
le vingt et un août 2077,21-08-2077
15 мартта 2077,15-03-2077
двадцать первого марта 2077,21-03-2077
11 октября 2007,11-10-2007
тринадцатого июля 2007,13-07-2007
21.10.2077,21-10-2077
17.03.77,17-03-2077
тридцать первого марта 2049,31-03-2049
18/02/49,18-02-2049
08.09.07,08-09-2007
zwanzigster 08 2077,20-08-2077
den sjätte 06 2049,06-06-2049
isipile i'wol 2049,21-02-2049
03.09.2077,03-09-2077
am achzehnten 01 2007,18-01-2007
тринадцатое февраля 2077,13-02-2077
петнаестог 12 2077,15-12-2077
16/02/2077,16-02-2077
der zwanzigste mai 2077,20-05-2077
isipsa 11 2077,24-11-2077
24/01/07,24-01-2007
erster februar 2049,01-02-2049
17.07.2007,17-07-2007
06/02/2007,06-02-2007
am dreizehnten 05 2007,13-05-2007
am drei und zwanzigsten august 2049,23-08-2049
isipyuk 01 2007,26-01-2007
19.09.2077,19-09-2077
14.03.2077,14-03-2077
двадцать восьмое 02 2049,28-02-2049
23 märz 2007,23-03-2007
der siebzehnte 08 2049,17-08-2049
der sieben und zwanzigster november 2049,27-11-2049
двадцать седьмого октября 2049,27-10-2049
10 semptembre 2049,10-09-2049
sipo'e chirwol 2049,15-07-2049
den andra september 2049,02-09-2049
пятнадцатого января 2077,15-01-2077
il 06 2049,01-06-2049
am zwanzigsten januar 2049,20-01-2049
21 juin 2049,21-06-2049
den trettonde 10 2007,13-10-2007
седьмого июля 2077,07-07-2077
седми маја 2077,07-05-2077
am neunten 08 2077,09-08-2077
der zwanzigste 03 2007,20-03-2007
den tjugosjunde 07 2077,27-07-2077
шестое марта 2077,06-03-2077
der neunte mai 2007,09-05-2007
25/04/77,25-04-2077
le vingt-sept octobre 2007,27-10-2007
18 yu'wol 2077,18-06-2077
25 декабря 2007,25-12-2007
i 02 2077,02-02-2077
егерме алтынчы 03 2077,26-03-2077
den tredje april 2049,03-04-2049
четвертое октября 2077,04-10-2077
09 сентябрдә 2049,09-09-2049
09/10/2007,09-10-2007
den fjärtonde 12 2007,14-12-2007
25/09/2049,25-09-2049
der fünfte august 2077,05-08-2077
i'e yu'wol 2077,02-06-2077
der dreizigste 12 2007,30-12-2007
der dreizigster 06 2049,30-06-2049
sipo'e 04 2007,15-04-2007
16/01/49,16-01-2049
16 сентябрдә 2077,16-09-2077
четырнадцатое сентября 2049,14-09-2049
der zwanzigste oktober 2049,20-10-2049
седми 04 2049,07-04-2049
04.09.77,04-09-2077
der sieben und zwanzigster dezember 2049,27-12-2049
30.09.07,30-09-2007
siebzehnter märz 2007,17-03-2007
am siebten 12 2007,07-12-2007
шестог децембра 2007,06-12-2007
19 декабря 2007,19-12-2007
семндацатое 04 2049,17-04-2049
i sa'wol 2077,02-04-2077
sipi'e 09 2049,12-09-2049
le douze juin 2007,12-06-2007
der dreizehnte 10 2077,13-10-2077
le cinq juin 2049,05-06-2049
седамнаести 09 2077,17-09-2077
унбишенче мартта 2007,15-03-2007
пятого 11 2007,05-11-2007
28 марта 2049,28-03-2049
den tjugosjunde 03 2077,27-03-2077
am achten oktober 2049,08-10-2049
двадцать седьмого 01 2007,27-01-2007
пятнадцатое 04 2077,15-04-2077
егерме сигезенче 07 2007,28-07-2007
den tjugosjätte 02 2007,26-02-2007
14/06/49,14-06-2049
isippale gu'wol 2007,28-09-2007
четвртог фебруара 2077,04-02-2077
дванаести јуна 2049,12-06-2049
трећи 06 2007,03-06-2007
двадцать первое 06 2077,21-06-2077
тринадцатое 04 2049,13-04-2049
28.04.2007,28-04-2007
двадесет пети јануара 2007,25-01-2007
девятое августа 2007,09-08-2007
десети јула 2007,10-07-2007
17 ноябрдә 2007,17-11-2007
25 октябрдә 2049,25-10-2049
04 märz 2049,04-03-2049
le dix-huit juillet 2049,18-07-2049
sechszehnter 09 2007,16-09-2007
двадесет осми 07 2077,28-07-2077
27 august 2007,27-08-2007
08.06.77,08-06-2077
der siebte 10 2049,07-10-2049
дванаестог новембра 2049,12-11-2049
den sextonde mars 2049,16-03-2049
19 maj 2077,19-05-2077
sipchil 01 2049,17-01-2049
двадцать шестое 04 2049,26-04-2049
22/06/2007,22-06-2007
am ein und zwanzigsten 02 2077,21-02-2077
җиденче июлдә 2007,07-07-2007
den artonde december 2077,18-12-2077
дүртенче 06 2077,04-06-2077
achzehnter 10 2007,18-10-2007
den elfte 03 2007,11-03-2007
sipi'e o'wol 2007,12-05-2007
21 april 2049,21-04-2049
петнаести јануара 2007,15-01-2007
le premier juin 2007,01-06-2007
le vingt-quatre 11 2007,24-11-2007
ile gu'wol 2007,01-09-2007
четвертое июля 2049,04-07-2049
vierzehnter 05 2077,14-05-2077
samsipe irwol 2007,30-01-2007
30 майда 2007,30-05-2007
17/10/49,17-10-2049
тринадцатое июня 2049,13-06-2049
десетог јуна 2049,10-06-2049
le trente 01 2049,30-01-2049
der siebzehnte 08 2077,17-08-2077
isipil 10 2007,21-10-2007
двадесетог 06 2007,20-06-2007
двадесет девети 12 2049,29-12-2049
двадесет другог фебруара 2007,22-02-2007
22.08.77,22-08-2077
06 semptembre 2049,06-09-2049
16/08/2007,16-08-2007
le vingt-quatre mars 2007,24-03-2007
25 august 2049,25-08-2049
isipile i'wol 2007,21-02-2007
тугызынчы июндә 2077,09-06-2077
der zehnte januar 2077,10-01-2077
am fünften 12 2049,05-12-2049
der fünf und zwanzigster 03 2077,25-03-2077
двадцатого июля 2077,20-07-2077
седми октобра 2077,07-10-2077
08 novembre 2049,08-11-2049
12 декабря 2077,12-12-2077
le trois janvier 2049,03-01-2049
sipi 01 2049,12-01-2049
24 септембра 2007,24-09-2007
двадесет пети 09 2007,25-09-2007
12 сентябрдә 2007,12-09-2007
i'e samwol 2007,02-03-2007
der neunzehnte april 2007,19-04-2007
der drei und zwanzigste april 2007,23-04-2007
23 december 2007,23-12-2007
isipo sibirwol 2077,25-11-2077
le vingt-six 03 2007,26-03-2007
sa 05 2077,04-05-2077
05/12/2077,05-12-2077
le vingt-quatre 12 2049,24-12-2049
der sechs und zwanzigste 12 2007,26-12-2007
sipchil si'wol 2007,17-10-2007
am acht und zwanzigsten dezember 2077,28-12-2077
il 02 2077,01-02-2077
le dix-neuf 04 2049,19-04-2049
am vierzehnten 09 2077,14-09-2077
am zwanzigsten 10 2007,20-10-2007
der fünf und zwanzigster juli 2077,25-07-2077
le vingt-cinq août 2007,25-08-2007
achter mai 2077,08-05-2077
07 sibirwol 2007,07-11-2007
le vingt-neuf juillet 2007,29-07-2007
den sjätte november 2007,06-11-2007
егерме дүртенче июлдә 2007,24-07-2007
четвертое июля 2077,04-07-2077
den tjugoandra april 2049,22-04-2049
29/09/2049,29-09-2049
10.08.77,10-08-2077
den sjuttonde 06 2077,17-06-2077
четрнаести децембра 2077,14-12-2077
одиннаести 09 2049,11-09-2049
двадцать первое мая 2077,21-05-2077
двадесет деветог октобра 2049,29-10-2049
yuke sa'wol 2049,06-04-2049
27/04/49,27-04-2049
06 april 2077,06-04-2077
трећог 10 2049,03-10-2049
10/08/07,10-08-2007
am sieben und zwanzigsten januar 2077,27-01-2077
15 octobre 2007,15-10-2007
01 маја 2007,01-05-2007
20 июля 2049,20-07-2049
десятого мая 2049,10-05-2049
11/12/2049,11-12-2049
осамнаести новембра 2049,18-11-2049
26/07/49,26-07-2049
sipgu'e si'wol 2077,19-10-2077
27 октября 2077,27-10-2077
26 октября 2049,26-10-2049
01.11.2007,01-11-2007
le vingt-trois 11 2049,23-11-2049
21/04/2077,21-04-2077
тугызынчы 09 2077,09-09-2077
25 juli 2049,25-07-2049
siebter september 2049,07-09-2049
der neun und zwanzigster juli 2077,29-07-2077
24 февралда 2007,24-02-2007
03.12.2007,03-12-2007
егерме тугызынчы 09 2007,29-09-2007
der acht und zwanzigste 04 2049,28-04-2049
09 апрелдә 2007,09-04-2007
am vierzehnten 06 2007,14-06-2007
седьмое 11 2049,07-11-2049
18 juillet 2077,18-07-2077
02 гыйнварда 2077,02-01-2077
isipsam 06 2077,23-06-2077
der fünfte 03 2077,05-03-2077
den tionde 04 2049,10-04-2049
isipyuke gu'wol 2049,26-09-2049
30 juin 2077,30-06-2077
08.01.2007,08-01-2007
седьмого апреля 2007,07-04-2007
den tjugoåttonde januari 2077,28-01-2077
06 февралда 2049,06-02-2049
le dix-huit avril 2077,18-04-2077
gu'e sibi'wol 2077,09-12-2077
sipsa'e i'wol 2077,14-02-2077
25 апреля 2049,25-04-2049
петнаести фебруара 2007,15-02-2007
i sibirwol 2049,02-11-2049
am vier und zwanzigsten januar 2077,24-01-2077
der zweite 12 2007,02-12-2007
den andra maj 2049,02-05-2049
тридцатое 08 2007,30-08-2007
деветнаести 03 2007,19-03-2007
03 маја 2049,03-05-2049
29 июля 2049,29-07-2049
am fünfzehnten 08 2077,15-08-2077
тринадцатого апреля 2077,13-04-2077
le huit février 2077,08-02-2077
le dix-sept semptembre 2007,17-09-2007
26/05/49,26-05-2049
am ein und zwanzigsten mai 2049,21-05-2049
шестое августа 2077,06-08-2077
деветнаестог јула 2007,19-07-2007
am achzehnten 12 2007,18-12-2007
sippal 09 2007,18-09-2007
am ein und dreizigsten 05 2049,31-05-2049
sechszehnter juni 2007,16-06-2007
22 октября 2077,22-10-2077
am neunzehnten august 2049,19-08-2049
01/11/2049,01-11-2049
унынчы 08 2049,10-08-2049
егерме алтынчы февралда 2077,26-02-2077
двадесет петог 10 2077,25-10-2077
осми 12 2049,08-12-2049
sechszehnter 06 2049,16-06-2049
првог јула 2007,01-07-2007
пятого 09 2077,05-09-2077
20 декабрдә 2007,20-12-2007
22/10/2007,22-10-2007
vierzehnter dezember 2049,14-12-2049
13 mars 2077,13-03-2077
деветнаестог новембра 2049,19-11-2049
17 ноябрдә 2049,17-11-2049
der zwei und zwanzigste 01 2077,22-01-2077
08.04.2049,08-04-2049
четвртог 03 2077,04-03-2077
седмог 08 2049,07-08-2049
der neunzehnte 12 2077,19-12-2077
sipile sa'wol 2077,11-04-2077
шестнадцатого 11 2077,16-11-2077
der vierte juli 2007,04-07-2007
am achten 03 2049,08-03-2049
o si'wol 2077,05-10-2077
07 februari 2049,07-02-2049
27.11.77,27-11-2077
30.04.77,30-04-2077
09 ноябрдә 2007,09-11-2007
13 маја 2077,13-05-2077
двадесет трећи 08 2007,23-08-2007
шестнадцатое 12 2049,16-12-2049
am vierten 10 2049,04-10-2049
o yu'wol 2077,05-06-2077
i'e 02 2007,02-02-2007
седамнаести 05 2077,17-05-2077
sipe 10 2077,10-10-2077
тридесетог октобра 2049,30-10-2049
am ein und dreizigsten 12 2007,31-12-2007
03 mai 2007,03-05-2007
двадесет трећи априла 2049,23-04-2049
sippale 08 2077,18-08-2077
zweiter 09 2007,02-09-2007
11/07/2077,11-07-2077
zehnter märz 2049,10-03-2049
15 maj 2007,15-05-2007
двадесет деветог 10 2007,29-10-2007
den trettonde februari 2007,13-02-2007
23 mars 2049,23-03-2049
le quatorze novembre 2007,14-11-2007
14.04.2049,14-04-2049
тридцатое сентября 2077,30-09-2077
am drei und zwanzigsten 11 2007,23-11-2007
егерме икенче сентябрдә 2007,22-09-2007
am zwei und zwanzigsten januar 2007,22-01-2007
am dreizigsten 11 2007,30-11-2007
den elfte 04 2007,11-04-2007
егерме дүртенче октябрдә 2007,24-10-2007
двадесет шести септембра 2077,26-09-2077
егерме алтынчы 02 2049,26-02-2049
den dolfte april 2007,12-04-2007
22/12/2077,22-12-2077
den dolfte 08 2077,12-08-2077
двадвацть четвертого февраля 2049,24-02-2049
17/12/07,17-12-2007
sipsa chirwol 2007,14-07-2007
23/02/77,23-02-2077
первое октября 2049,01-10-2049
den trettionde 08 2049,30-08-2049
sipchil 10 2077,17-10-2077
der acht und zwanzigste märz 2077,28-03-2077
петнаестог марта 2049,15-03-2049
05 maj 2049,05-05-2049
23/11/77,23-11-2077
der zwölfte februar 2049,12-02-2049
sipchil sibirwol 2077,17-11-2077
le trente 10 2007,30-10-2007
28.09.49,28-09-2049
11 i'wol 2077,11-02-2077
седьмое сентября 2077,07-09-2077
03.09.2049,03-09-2049
28 июня 2007,28-06-2007
